Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric,125.0,-108.725,-90.0,top
C10,100nF,C_0603_1608Metric,106.25,-98.225,90.0,top
C11,100nF,C_0603_1608Metric,106.0,-65.5,-90.0,top
C12,100nF,C_0603_1608Metric,116.0,-71.0,-90.0,top
C13,10uF,C_0603_1608Metric,146.725,-100.0,0.0,top
C14,10uF,C_0603_1608Metric,161.5,-81.5,90.0,top
C15,100nF,C_0603_1608Metric,97.0,-95.0,180.0,top
C16,100nF,C_0603_1608Metric,106.225,-94.5,180.0,top
C17,100nF,C_0603_1608Metric,108.5,-96.225,-90.0,top
C18,100nF,C_0603_1608Metric,145.5,-88.0,0.0,bottom
C19,100nF,C_0603_1608Metric,106.75,-68.75,0.0,top
C2,22uF,C_0603_1608Metric,132.725,-111.5,0.0,top
C20,100nF,C_0603_1608Metric,119.975,-74.5,0.0,bottom
C21,100nF,C_0603_1608Metric,102.225,-86.5,180.0,bottom
C22,100nF,C_0603_1608Metric,123.975,-71.75,0.0,bottom
C23,100nF,C_0603_1608Metric,121.0,-71.75,0.0,bottom
C3,100nF,C_0603_1608Metric,103.0,-92.0,90.0,top
C4,10uF,C_0603_1608Metric,97.0,-93.5,180.0,top
C5,100nF,C_0603_1608Metric,97.0,-92.0,180.0,top
C6,10uF,C_0603_1608Metric,136.0,-72.5,-90.0,top
C7,10uF,C_0603_1608Metric,147.0,-88.5,-45.0,top
C8,10uF,C_0603_1608Metric,143.5,-111.0,0.0,top
C9,10uF,C_0603_1608Metric,131.225,-114.5,180.0,top
D1,1N5822,D_DO-201AD_P15.24mm_Horizontal,114.0,-105.88,90.0,top
D2,SS14,D_SMA,98.5,-113.5,180.0,top
D3,Yellow,LED_0805_2012Metric,142.1,-102.5,0.0,top
D4,RED,LED_0805_2012Metric,118.4,-76.5,180.0,top
D5,Green,LED_0805_2012Metric,142.0,-105.0,0.0,top
F1,Polyfuse 1A,Fuse_0805_2012Metric,104.0,-108.1,-90.0,top
F2,Polyfuse 1A,Fuse_0805_2012Metric,147.1,-102.5,180.0,top
J1,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,98.5,-108.0,-90.0,top
J2,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,151.18,-109.67,180.0,top
J3,Conn_01x08_Socket,PinHeader_1x08_P2.54mm_Vertical,164.5,-89.35,0.0,top
J4,SMA 915MHz,SMA_BAT_Wireless_BWSMA-KWE-Z001,155.5,-66.0,0.0,top
J5,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,110.0,-64.23,180.0,top
J6,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,119.0,-64.23,180.0,top
J7,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,114.5,-64.23,180.0,top
J8,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,123.5,-64.255,180.0,top
J9,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,128.25,-64.255,180.0,top
L1,68uH,L_0603_1608Metric,120.7125,-109.0,0.0,top
L2,10uH,L_0603_1608Metric,154.756048,-76.756048,-45.0,top
R1,2.0k,R_0201_0603Metric,139.155,-107.5,180.0,top
R10,10k,R_0603_1608Metric,151.25,-87.0,45.0,top
R11,10k,R_0603_1608Metric,144.256048,-88.006048,-45.0,top
R12,10k,R_0603_1608Metric,99.0,-73.75,270.0,bottom
R13,330,R_0603_1608Metric,146.25,-86.5,180.0,bottom
R14,10k,R_0603_1608Metric,117.925,-68.0,0.0,top
R15,10k,R_0603_1608Metric,103.675,-84.75,0.0,bottom
R16,10k,R_0603_1608Metric,123.925,-70.25,180.0,bottom
R17,10k,R_0603_1608Metric,128.75,-70.0,90.0,bottom
R18,100k,R_0805_2012Metric,97.5,-81.5,0.0,bottom
R19,220k,R_0805_2012Metric,98.0,-77.75,0.0,bottom
R2,1k,R_0201_0603Metric,136.0,-112.655,-90.0,top
R3,5.1k,R_0201_0603Metric,152.655,-105.0,0.0,top
R4,5.1k,R_0201_0603Metric,151.5,-103.75,90.0,top
R5,10k,R_0603_1608Metric,108.675,-99.5,0.0,top
R6,10k,R_0603_1608Metric,113.675,-69.75,0.0,top
R7,330,R_0603_1608Metric,116.675,-74.5,180.0,top
R8,10k,R_0603_1608Metric,136.175,-68.75,-90.0,top
R9,1k,R_0201_0603Metric,141.0,-107.18,180.0,top
SW2,SW_Push,SW_SPST_PTS645Sx43SMTR92,100.02,-100.25,180.0,top
SW4,SW_Push,SW_SPST_PTS645Sx43SMTR92,100.02,-65.75,0.0,top
TP1,TestPoint,TestPoint_Pad_D2.5mm,104.0,-112.5,180.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,105.27,-80.3,90.0,top
U2,LM2595S-3.3,TO-263-5_TabPin3,123.225,-98.8,90.0,top
U3,IPEX-1,C2987682_IPEX-SMD_4P-L2_6-W2_6-LS3_0,163.7,-68.0,0.0,top
U4,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,139.3,-111.8,180.0,top
U5,Wio-SX1262,MODULE12P-1.27-11X11.6MM,143.3,-67.175,-90.0,top
U6,ATGM336H-6N-74,C5804601_COMM-SMD_18P-L10_1-W9_7-P1_1-TL_L76-LB,148.999946,-80.499946,45.0,top
